group,headline,scheduled_date,date_status,confidence,source_type,source_url,evidence_summary,tracking_status,review_reason,recommended_action
BTS,BTS reveals new album title ahead of long-awaited comeback - The Independent,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMipwFBVV95cUxNM2oxa3pkS2tUWTJZWlp1clJEOHd2TGdoR2NhUU5uWGxoUERIU3hsaU1SMm5KMlRvc0JNbkxxNXZtWngyb0xkVWdYa3UwNWlrbGxsY2J5VEJKcXlub0tKUXdhOUVPc0MtQnNwcWV3V1FiWUd2T2dkckY5REpta1ppdFBBUGRNMFU2OW96QXJBc3U2NUFocGxQbko2NVZzVnhoOVhTc1ZJNA?oc=5,BTS reveals new album title ahead of long-awaited comeback The Independent,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"BTS The Comeback Live: Netflix drops first official trailer, here’s when ARIRANG celebration will stream live in India - The Indian Express",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNRjhtN1FxZDNaVmFXbTg3cm9oVjZFX0t3dWNjb3NMZzk2eHBYNWJEci1MLWNIN2pqaVZNT0lJYVZGelFrVHJPNXp0OHNlcmdtbC1oWlJRTkJCRlpHSzhJRjNrbnFHNmh2Z3BleUlaTldfTVpGTUZWTUREMG5XaXZGLUw0X3NxVTB6NmhWQ1lDQW82eV9WNjE5aE1UY0VwNmFYQnR6ajVHQm9wN05JSExlYUtUZ3I1RkFjSTBXS3JsdnlQX3ZjbnJSRkxIWlUyNWU1dkgzTNIB2wFBVV95cUxPa2VoSDBVWUtvLU0yRDRoRkNvalpGUkRIUHhZbHA0Q0c5UlVQZ2hCV0lXdmgzbW9jaVNGdWdlNUpjTndEbWU5dkdsZ285TF9zdlhIbEVXYm5URElpcm0tY0JTZ0lYb2k3NXBfaXl4X21ZcDBDSUprN19KZVBjbGlfcVBfdjluTmFKSGNHUVNoeUJKZUlUS3Z2a09jTlgyTF9oQThxc19UTHk3cHZrb2FhVndHVE4xbkZ3Y2liV0JJZHlubUctWl9pbFFrRnRwdWRvU3RGbXhJc2hUTVE?oc=5,"BTS The Comeback Live: Netflix drops first official trailer, here’s when ARIRANG celebration will stream live in India The Indian Express",filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"“Seven Together, We Can Do Anything”: Netflix Drops Trailer for BTS Comeback Concert Live Stream - The Hollywood Reporter",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMingFBVV95cUxPRU1ZYWVnMTRHY0xaWkFNVlNYVTJMX2dHamVFeDA2YXJBMHRtcVpJcjNYQ1JkZzd2Rll1LURmem1wcTlMdnBiUU1rT2EyWHRObTlJLWFyNTV1MWZGX2NfakdHLVpqVUxZQUkxODZMVkRIUHhsSjh4Q2RNU25WaEd6V3lpNGVOd1pQQ2tCOXJMRGJyYndyOXpYWmp0aGdvdw?oc=5,"“Seven Together, We Can Do Anything”: Netflix Drops Trailer for BTS Comeback Concert Live Stream The Hollywood Reporter",filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"BTS announces March comeback date, putting an end to a nearly 4-year hiatus - ABC7 Los Angeles",,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMilgFBVV95cUxNZWwzUUFJSGU4djVweVZDUmVXTGZwLWhBSlNXZWNoTEhOQjJkZFlXTkVuN2xCU2llMnJfTWl2OG1JMHJ1SjRXZUNDSXZKZHlPeGhnNHdGak0zbkJiWmI5T042aVkxbktOOG1qOWNoaWQwZXNJZVRTYl91Q3lQU1ZjUHkxUnRlbXp2QWdiQm5vQ0oyVGpWRUHSAZsBQVVfeXFMUFRkZ0Z1NUpkODVjVmFTWmx5ZFZkdEF2T1BSeXl0SzlpVDl0dkJ5OWh2VGhvWHlLd01ucU5kVWtaQk43VGtsMzB0OGJUOGQyejhNNnBvX0QyTUhDUEtheFZHaXV1ZldOTFVGMjdTeEZuMDYyTWZ0WktySENTdXZkUTVMems4Vl9IZFJTSzZPZjVJOGpJTzlWNnltUnM?oc=5,"Future month reference: 2026-03. BTS announces March comeback date, putting an end to a nearly 4-year hiatus ABC7 Los Angeles",filtered_out,inexact_date,Keep the candidate in review until an exact date appears.
CSR,Unresolved latest release mapping,,,0,unresolved,,no_release_match,needs_manual_review,unresolved_group,Verify the group's latest release mapping and artist source manually.
DRIPPIN,Unresolved latest release mapping,,,0,unresolved,,HTTPError,needs_manual_review,unresolved_group,Verify the group's latest release mapping and artist source manually.
ENHYPEN,ENHYPEN's 'Knife' Reveals Sharp-Fanged Vampires - 조선일보,,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxPblZfVHkyVDBQVmZPY0pJaGFqNEd3RTVrQUtXejJEOEE0d0RlaXRteml5TEJuYm44Y0tSb2paeXBHeXI1MlpISTJPUkJld01oWFduVTlIVERpRXpIRWdaeklOWS1nSXpSQTNYZWdCU1d5am9TWFRxV1U4X3BDRWJTcDNoekUxYnNrVXlZYWpR?oc=5,ENHYPEN's 'Knife' Reveals Sharp-Fanged Vampires 조선일보,recent_release,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
H1-KEY,H1-KEY announces a comeback with their 5th mini album 'LOVE CHAPTER' - allkpop,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNXzdveG1oNkJmUXlwOUdGZGttWXdGNVBiVUJtcnB0MVJ1MmJPaHloLXVFQXc4S0pfU1NQRnVqZlF4ODY3OGFxbDNfQU9HbGVwZndGOWluRmtpTU9SMV9pME1BdnJJcWduNm9VbFVkTzBuWmdzelFmNV9CQnhORUt5U0dySmtSMV9Iak1Ebk1aemNDOW9qUzNKV1ppZXZ1eDVUZG1iWGFvdUNQQQ?oc=5,H1-KEY announces a comeback with their 5th mini album 'LOVE CHAPTER' allkpop,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
Hearts2Hearts,Hearts2Hearts Announce Comeback Single “RUDE!”: Here’s When It Drops - inmusicblog.com,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMigAFBVV95cUxNdWlPR1EyeThmM0hKQ1FKY2NqcW5PalVpOTV4eUdzdTFyYjBoWHZrQzJod0dxakN4YkxVT1ZzQTFUaHZ3SkNXWmUzcVR4TklENU4xdTh0UnA2TFJfcG1yaEJyejhRUkFNQnRoV0lzUWlaUlJIcjRsZnMwSmVKYlVPSQ?oc=5,Hearts2Hearts Announce Comeback Single “RUDE!”: Here’s When It Drops inmusicblog.com,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
KickFlip,KickFlip announces April comeback - Music Mundial,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMidEFVX3lxTE1vRVlPU0xVRUlFSlN6SU1oNWQ1VWQxYWNpYUpXaDl6MFVHZWtVSElyTVFIZGZKaU51OFZDRlVTX2R4VmdVZWVzbmVpeEtxb3BrYXkwV3VWb282SVd6dDdlakdaczlVcmtpbWFxWTdOY2NqRS1Z0gF6QVVfeXFMTU5XU1lfWnpuclpnWTlfZm9aVGxocmVnYXN1bzhNenRBUlF2VnJQMzBsZVk5M2RmbklQdnRvUzZneW9qclJ4c29qcTUtSDFPMlNwbk1qUERuVDUtOGpMMldaU25hdVo5MHR3ZnRYYmlSeGNOdnVlOFliUlE?oc=5,Future month reference: 2026-04. KickFlip announces April comeback Music Mundial,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
KickFlip,KickFlip announces April comeback with their 4th mini-album - allkpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMioAFBVV95cUxPSHllVlA3LVVFQ1pKcGltd3UxLWhSVEpfUHNqall5X2pkZ0ozWlNzazlKS29BYzZUZHA0UFNVQnNNd0JORU9yRFFQelFzeU5jM05kV0k0TVBZZE1iQklwbGZvR2ZSajhTaDFBRDR0dk05aHFNcmNoUWs1MXFVWGRmYXRhQTlWeDU1TE5TRUxpaTJFZ3d1ZlNaRGhVWXh2Z3pR?oc=5,Future month reference: 2026-04. KickFlip announces April comeback with their 4th mini-album allkpop,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
KickFlip,KickFlip wraps first nationwide fan-con tour and announces April comeback - allkpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMiswFBVV95cUxPd2t2VzJkdFQ0Mm5Ld0JzcWVlZHZvb0dHQ2RWSC1IVWI5bmR4bEJQQ2NuWjdGMUZKQnNnU0J1STBld0VOd0xmTnBXaHJyUzFLb0g4RUhEblhvR1M5eGZtdWhCUTBGN2FGMkNpUjk4dlJwZGZyZUM2cE95cHAta3JrektqM2stTWxGQXZxYWxfdGtTNm1OQWpDY3FDd0xOcENLVGl2Rzh1RjZKUE1HMkRwVG5aSQ?oc=5,Future month reference: 2026-04. KickFlip wraps first nationwide fan-con tour and announces April comeback allkpop,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
KiiiKiii,"Kakao Entertainment announces 2026 plans for its artists MONSTA X, IVE, KiiiKiii, & more - allkpop",,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQSS11aDk5TGN1WTJJN29mcE5JbTBya1JJUk1YaFZqMFBIRkhuWjZTYkpJZ3kxdzhyYUdGVXUxZWQwY2ZYLXhFZnkwSGN0SFdHV1FuZ0JSNlN6Wm5oX0xhekUzdERieHdmSEJJOGFoSjdNRVFLRHIxWTY1Z0Fpa05VV1FleUljZUZnaDFqdmx3bWJXdUR0ekZ2ZDNUbEMxbWtPN0cxeDNjVFVmWHFoblFxRkpYN2ZVYVVCZnVsNGZubHM?oc=5,"Kakao Entertainment announces 2026 plans for its artists MONSTA X, IVE, KiiiKiii, & more allkpop",recent_release,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
KiiiKiii,"""Like Ive! Onto a Bigger Stage!"" Starship Rookie KiiiKiii Sets Out Their Comeback Ambitions [On-site LIVE] - 매일경제",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiUEFVX3lxTE9UODlHM01ud0pEM2pqRXVZQVM5YWJnU0FIUGJFT0swbGJ0UWw1dzl0cU40cTFycUtQdWloVWpDY0VKVkRpbU1fc1RzS1hTeEhO?oc=5,"""Like Ive! Onto a Bigger Stage!"" Starship Rookie KiiiKiii Sets Out Their Comeback Ambitions [On-site LIVE] 매일경제",recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
KISS OF LIFE,KISS OF LIFE Teases April Comeback with 'COMING SOON' Video - 조선일보,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxOejZONEFWdXZ0SzlCTTNJNWRHUExLdHVSZ3ltOGR4c2RnS3V5dmtyTUItaVJGajc1NWI0c3FxbE5rWnpkcmFCekhZUEZQaEVPSUxVMEtYajFyQ0M3ZXNrSVhabVZpZnBac09VNl80YzVfVjBGNU5tODZnU2VoTTh5UkJ0Z1BCWXRyU01CZDJR?oc=5,Future month reference: 2026-04. KISS OF LIFE Teases April Comeback with 'COMING SOON' Video 조선일보,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
LE SSERAFIM,LE SSERAFIM and TWS Set for April Comebacks as K-Pop Return Rush Intensifies - DIPE.CO.KR,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiREFVX3lxTE9aMUtzSDlQa2FxSG9TZjNlMF9fcU9PYmE3WE1lUmJFaWhzOW5aaDQ4VVpXZkJxYkNLcEJhSkZCNlZUWFE1?oc=5,Future month reference: 2026-04. LE SSERAFIM and TWS Set for April Comebacks as K-Pop Return Rush Intensifies DIPE.CO.KR,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
Loossemble,Unresolved latest release mapping,,,0,unresolved,,HTTPError,needs_manual_review,unresolved_group,Verify the group's latest release mapping and artist source manually.
P1Harmony,P1Harmony teases March comeback - The Korea Herald,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5BT013aGY0bldBWXdwZDdLS0RGWE9GMGlzRjNLOWdfMjFZV2NNZUNOVGt5Qjl6X1A0T0FWa1NCekY1S0pad0dGWlh3Ql8zdVpfM19YR0VwSQ?oc=5,Future month reference: 2026-03. P1Harmony teases March comeback The Korea Herald,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
P1Harmony,P1Harmony to return in March: report - The Korea Herald,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5pTGd6dWpWSkRPNjJDdDV4aVN4N2NVZzMtNEowWTU1WlU0Q0JsdU9KZC1JOU9yMmVWZ0R2VUFybnlBaHpqZk1wY205TXJtSFktZnQ3UFR2UQ?oc=5,Future month reference: 2026-03. P1Harmony to return in March: report The Korea Herald,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
P1Harmony,P1Harmony Announces 9th Mini Album ‘UNIQUE’ With Cinematic Teaser ‘THE HERO IS MISSING’ - hellokpop,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMitgFBVV95cUxOTnFVLUswd2lNbkkxQ0l3b2M5cXRMR1NOd2p2a0ZURUpIb1NKQ3R2cTNMN2N2U213VzR2VW1yY0ppb3dOREJrSTdKVC1SbWh6d2dhUWRTa2sycUc2M0JScnZlVTN6VjdpUk1NUmtxajBrZDV3OFlHVXoxcGtpZW1tZG5YRUFJSkhrQjcxUHlyVjJIZmloWWV2UHdvbDFiWHA1TmlndXRibHBRVG1mSGU3MjVWV0kxUQ?oc=5,P1Harmony Announces 9th Mini Album ‘UNIQUE’ With Cinematic Teaser ‘THE HERO IS MISSING’ hellokpop,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
P1Harmony,P1Harmony announces March comeback with new trailer release - Music Mundial,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMilwFBVV95cUxQQWZMVnhhR21vNkxDX2x5YlM0UVZqZFItbmY5SlhlbnR6Zkdsa2lFMzMzRERyOWZpZXNyWWVzWW1INzhFT1JILWtaMWhVOHJCYUdVLWQ3Z2U5QlluTE8zNUp2VmM1TTBDWFU4T1lKeVdIN2dVc0pCTVJ6bVR1T3lpdGhXUGtuTXlkQ0M1aUtxLTc2cU5xX2hN0gGcAUFVX3lxTFBHa3JwbFA4X0tpM3pqejNqcnhYV0hJNzZiTWg5MzFRZ2ZWTFhLZkQ2ZVRWRFYzd04waGNuODQwT0lLWGdCaGZuUVI3U25OSkUybXNWOWUxWmZ6NlEycFlzUDk2bmVlMUZqWmlaV0lZOGxSRFE1N3p2ZUpHeEtJNnlCM08xQUdfR0hITmczOWlzX1JCWU1DSlNxcDJTQg?oc=5,Future month reference: 2026-03. P1Harmony announces March comeback with new trailer release Music Mundial,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
POW,Rookie Group POW Drops Debut Single 'COME TRUE' Today! - K-en News,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiakFVX3lxTFBXaHZpbGJjckUyLXlnczdSN2lfZXBlQWhoZ096enJ4U19ELTVuQmpnRDVNSTJ6YlNjVTE1dHZVWFlRSmhJbGNrQnpCVENuWkdOX1JNTDJMOS1kYUExbUpGNDQtWkxpcGUxT1HSAW5BVV95cUxOek9wUHFGWlRFV2pxNENEdWpXU3IyWXlJTzM5VE10Q3RUWW5kejB1YmdSanM3NEdVRDAybWdKQ0JZNndZaUdxN1ZYTGxXQXY0WkNMNWpkbWxKUmJHeU1FelhqTk0ybFhmMFU4cDJyUQ?oc=5,Rookie Group POW Drops Debut Single 'COME TRUE' Today! K-en News,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
TOMORROW X TOGETHER,TOMORROW X TOGETHER made their first comeback after renewing their contract..8th mini album released on April 13th - starnewskorea.com,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMieEFVX3lxTE11U0FzM2s2dXpCcHhqME5ZMVdCSlB2MjJKT21JS0p0dmhocmxhcXI4UlVDdGRBRXJQTmZiS1NLV2VCdlNYVFBhQzdoa0RvRVRYcnV1RWtEa2JZTVR4VERGdVRZSWRQaFlJSHZWUG10NHBDSW9oMXMtQg?oc=5,Future month reference: 2026-04. TOMORROW X TOGETHER made their first comeback after renewing their contract..8th mini album released on April 13th starnewskorea.com,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
TOMORROW X TOGETHER,TOMORROW X TOGETHER Announces Comeback Showcase for New Chapter with MOA - DIPE.CO.KR,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiREFVX3lxTE5KUm5nQ2VtaTFneExxWHB5bDVXMjZfdVBNYk52UnlzV09QNzlmTmV3N3NoRmpJd2pzcl9OOHEycVB5cGhG?oc=5,TOMORROW X TOGETHER Announces Comeback Showcase for New Chapter with MOA DIPE.CO.KR,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
TOMORROW X TOGETHER,Tomorrow X Together Announces First Comeback Post-Contract Renewal - 조선일보,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxNWGFmZF91c1E3MVNJTTI4dDlxc1VfeDNHOWZGMUVXWHlMSl9VZVQ4QXN5NExtUTRRNXlqLTY0T3ZjUldKXzR2ZHRFVkRmaFZOUG9SSlJ5b1RwRVpUMkp6WHluc3Y1d01KcnkxaXdVVXhfM3Z6V0NQRV9uS040NHFZcGlLV2JkRG40dThtODNB?oc=5,Tomorrow X Together Announces First Comeback Post-Contract Renewal 조선일보,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
TREASURE,BIGBANG Returns for 20th Anniversary… Global Tour with YG confirmed,,rumor,0.64,agency_notice,https://www.ygfamily.com/en/news/report/7385,"BIGBANG Returns for 20th Anniversary… Global Tour with YG confirmed YG Entertainment has announced the return of one of its flagship IPs, BIGBANG, along with up...",recent_release,inexact_date,Keep the candidate in review until an exact date appears.
TREASURE,YG to Launch First New Boy Group in 6 Years Since TREASURE… Rookie Girl Group Project Also in Full Swing,,rumor,0.64,agency_notice,https://www.ygfamily.com/en/news/report/7389,YG to Launch First New Boy Group in 6 Years Since TREASURE… Rookie Girl Group Project Also in Full Swing YG has raised the expectations among global music fans...,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
TWS,LE SSERAFIM and TWS join April comeback lineup - allkpop,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMijwFBVV95cUxPOW9KYnhjSUlXYTZXUDN5MXFtTGdwZklGc3lCd3NuTDJlOTVxd0FTTmhRVzNNejdBdjZDQVRySkJzSzFJT1BwakRaV1hsaF95SWpsczZHNnRicGNCM2ozOHJzOTZUamkwTW9SZExmSEFSYlFvX2g0QmNERW5KUnJNMWlRbE5vRWVXTTVPTW83Yw?oc=5,Future month reference: 2026-04. LE SSERAFIM and TWS join April comeback lineup allkpop,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
TWS,LE SSERAFIM and TWS Set for April Comebacks as K-Pop Return Rush Intensifies - DIPE.CO.KR,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiREFVX3lxTE9aMUtzSDlQa2FxSG9TZjNlMF9fcU9PYmE3WE1lUmJFaWhzOW5aaDQ4VVpXZkJxYkNLcEJhSkZCNlZUWFE1?oc=5,Future month reference: 2026-04. LE SSERAFIM and TWS Set for April Comebacks as K-Pop Return Rush Intensifies DIPE.CO.KR,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
TWS,TWS Set for a High-Energy Spring Comeback Confirmed for April - OtakuKart,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMijAFBVV95cUxQZzJ5VkxoOGhGVS1GUEVVV0dMUnR1RkJHQlBqR2tGOGpWNUh2SXEwUzJ0czNVVHdlb1h3SzBMZnhPNXJHSWdaNlk5ajlOYy1wYTZYNDE2UUJmX3NpXzlhc1BXR0Q4SWR0ZXZqb2xja0lFYzhmQ2FKSS05cWZ0ZEkzZmJzMlFJRmstYVhfcA?oc=5,Future month reference: 2026-04. TWS Set for a High-Energy Spring Comeback Confirmed for April OtakuKart,recent_release,low_confidence ; inexact_date,Review the evidence and confidence score manually.
WHIB,WHIB announces comeback with first mini album ‘ROCK THE NATION’ - allkpop,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiowFBVV95cUxPN1JUd1hRRVNCWjZGamFFNFN1Z2FXdlJmOTZMRzNqNVdPNm9zbTRscVl6aFg5RTJGYjRYUGRhZzRoZVExV0JiMGR5LXc3UUF0VXE4UWxjV1MxMmNqMGtuUkE5TFp5TmZJMFdyaHYwT0pwU0ludDZPMnJaeEZhMXhReEg3aFlma1VmQmVMTnplNzY0Zk1iYjdsS2NEYVN0SmNKX1JV?oc=5,WHIB announces comeback with first mini album ‘ROCK THE NATION’ allkpop,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
WHIB,"WHIB reunites as seven-member group, drops mini album and title track ""ROCK THE NATION"" on 29th - CHOSUNBIZ - Chosunbiz",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOTQ0RHBPQ3ByQTlQX2dtMkNZUndDWEtBM1pQbDBLOHByeEtDRnRveEZVRGlGcFdGMlBWRG9JSV8tUzJOWUtDZm1VaWUyMGFYWEdYa05RdHVEa3dqdDVSbzU3eWV5bHdKamZxOGRkWTJRdnQ4ZEE2ZjkyVGZrcVo5TG5yeFg0ZDJP0gGcAUFVX3lxTE0xeThmN21CeUdDRHdYc0FicFBPWmVxTWhwZGpia2MtWWNIcWpCSlJZTzlEVkVDems2Q09qbGlfazFwd2hIbDZQdWlaRVgxQ2Z4ZlJDUW94Y2szSExURk5CWkMyUW9fX0l5WkctRXFMTWR2QmlmSG9Gdk5Lb3RLNW9mb0ZZS2dPSjIwTXdPbnJNTVlROG1JWURSdXlhZw?oc=5,"WHIB reunites as seven-member group, drops mini album and title track ""ROCK THE NATION"" on 29th - CHOSUNBIZ Chosunbiz",filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
YOUNG POSSE,YOUNG POSSE Drops 'LOSE YOUR SHXT' Collaboration - 조선일보,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxPQ0Y4Uk9DdGQ0V3JDWG8tUmpHdGNFSkRySDRJbThqU1Z0RGJ0UThUX0gxV2JQWmN5SEp1Q0c1RkZwRGgtSEg1TkhROFA5VGtiSE0wTVQ4U2dVYWo4bk4zRHk1dGw1Y1V4cnBMaUFyQzkyRXRfTDJEUzRQN29lRjJLZ29ZVHMtd0hSd1kxeVB3?oc=5,YOUNG POSSE Drops 'LOSE YOUR SHXT' Collaboration 조선일보,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
YOUNG POSSE,Young Posse drops collaboration single with Chinese rapper Benzo - CHOSUNBIZ - Chosunbiz,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPTjdZMlpRNDV4M1Y4OXhoSnhCX0p0NG5TNllLZnBzVzY3RGxFNlBjLUdkZjlCYjhzWEs3YnNhM0t0SGRUOFJyUFFaVVl3TENmV3J3WEM3ekE3QWVrNDk1TS1meXQ4WmZ4NW04dGtQNEFneU9tYmVhRlFvZXplaGRfNUFfVmgxekZs0gGcAUFVX3lxTE8zU2UtTjdDdGxRd2Nua0hiN1gtWEx5YXZFa1FWcHNTcVpkbkJsTkJDVzBwSHJKa2tkZ3FFUjFzNmxFYlV5VDNoMlFuVHJFY085ZWc2Y21MZWxFVF9yU0FGSkhsdkpuQWhmRkpQSURKNlFNYzd4LTlBOVJxYmFTVXZQcjZlRmhUaXJ6QVlQRTExR0FFMm5maERLSFhESQ?oc=5,Young Posse drops collaboration single with Chinese rapper Benzo - CHOSUNBIZ Chosunbiz,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
YOUNG POSSE,YOUNG POSSE announces April comeback with new digital single - allkpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMiogFBVV95cUxQSEJNTnpUWHJkWGRHUlhvWnFId3BYTEJ4ZHVkZWppbktscmtYLThzRzkzek45UmVrTGd5di0wSmRUN2VjZ0M2YU1MLU9EbU8xTzY0Q3AzUHRzbHFXcDN6V2tYYjlXWGMtT3hlQUxhMFlKVVE4aU9RbDl0NGZfNU54S1NOdXJUSG9MUW5oaEd2VlEtd3dBUm1pV3RqSjJNcmIxR0E?oc=5,Future month reference: 2026-04. YOUNG POSSE announces April comeback with new digital single allkpop,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
ZEROBASEONE,ZEROBASEONE Announces New Chapter as Five-Member Group - hellokpop,,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMijwFBVV95cUxQcTl0VDFsQ3RudzB3N3hoU1h6MGVicUFKbEoxSHhzbjlENUptREdZNlhZbVd3UGI0UGNKUElEZE1mTU04ZEFTRXZjeC02TEh1SjBFR3ZIcC1OQjl5ZERZRnJibW16eUxwUXFoY2dqU05sbm85ZHd1dEdORG1vclVIZXA2YXN2T2JtcG9zUTJCdw?oc=5,ZEROBASEONE Announces New Chapter as Five-Member Group hellokpop,recent_release,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
ZEROBASEONE,ZEROBASEONE Drops Track Poster for ‘Running To Future’ Ahead of Comeback - K-en News,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiakFVX3lxTE9BeUhpZUhiSnN5QkdyX0s2WG83X0htbHdlNkl3UXdYcmlDbHA2eUNOQjhoeUFHWDN0R2E3YUhjejRtdkk2NUFjVHUzYnhwWm5mOHRob3RKZGZCMnVSZXVkdlk3T2pvVmQ4QWfSAW5BVV95cUxOMmFwRWhrTkE3QS1ORkR2X01fVHdTU0I1dU1fMmxMTlpiRFFENnVOMnBSRHJjdEQ2dDAxV2pKY3dSb2NHdF9jSEN6ZW51SW8wV1hEU191WXBIZ1BwdXZEQWg4S0lpai1aNV9Gbi1RZw?oc=5,ZEROBASEONE Drops Track Poster for ‘Running To Future’ Ahead of Comeback K-en News,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
