group,release_title,release_date,stream,release_kind,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
Stray Kids,ATE,2024-07-19,album,ep,MOUNTAINS ; Chk Chk Boom ; JJAM ; I Like It ; Runners ; 또 다시 밤 ; Stray Kids ; Chk Chk Boom (Festival ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Stray Kids,合 (HOP),2024-12-13,album,ep,"Walkin on Water ; Bounce Back ; U ; Walkin on Water (HIP ver.) ; Railway ; Unfair ; HALLUCINATION ; Youth ; So Good ; ULTRA ; Hold my hand ; 그렇게, 천천히, 우리 (As We Are)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Stray Kids,Mixtape : dominATE,2025-03-21,album,ep,GIANT (Korean ver.) ; Burnin’ Tires ; Truman ; ESCAPE ; CINEMA,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Stray Kids,KARMA,2025-08-22,album,album,BLEEP ; CEREMONY ; CREED ; MESS ; In My Head ; Half Time ; Phoenix ; GHOST ; 0801 ; CEREMONY (Festival version) ; CEREMONY (English version),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TEMPEST,THE CALM BEFORE THE STORM,2023-04-17,album,ep,EYE OF THE STORM ; Dangerous ; Freak Show ; I’ll Be There,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TEMPEST,폭풍 속으로,2023-09-20,song,single,Vroom Vroom ; DIVE ; Bluetooth,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TEMPEST,TEMPEST Voyage,2024-03-11,album,ep,LIGHTHOUSE ; There ; B.O.K ; Slow Motion,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TEMPEST,RE: Full of Youth,2025-03-31,album,ep,WE ARE THE YOUNG ; Unfreeze ; Destiny ; ONLY U CAN ; COME BACK HOME,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
THE BOYZ,[PHANTASY] Pt.1 Christmas In August,2023-08-07,album,ep,LIP GLOSS ; Passion Fruit ; Lighthouse ; Fantasize ; Fire Eyes ; Fairy Tale,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
THE BOYZ,[PHANTASY] Pt.2 Sixth Sense,2023-11-20,album,ep,WATCH IT ; 덫 (Rat in the Trap) ; Honey ; Bad Luck ; CRYING&LAUGHTER ; Escape,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
THE BOYZ,導火線 (TRIGGER),2024-10-28,album,ep,Bite Back ; TRIGGER (導火線) ; bAd ; 숨바꼭질 (Slip Away) ; Re‐Wind ; They See Me Dream,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
THE BOYZ,Unexpected,2025-03-17,album,album,Feel The Bass ; VVV ; Starry Night ; Ain’t Salty ; Rose ; Rock and Roll ; Nothing ; Miss Demeanor ; Cross Over,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
THE BOYZ,a;effect,2025-07-28,album,ep,"Stylish ; Talk ; You and I ; 함께라서 눈부셨던, 서툴지만 아름다운 (Constellation) ; AURA",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
The KingDom,History Of Kingdom: Pt. Ⅵ. Mujin,2023-03-23,album,album,Intro: Stigma ; Dystopia ; Song of the Wind ; Elements ; My Wave ; Love is Pain ; Dystopia (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
The KingDom,History Of Kingdom: Pt. VII. JAHAN,2023-10-18,album,ep,INTRO: APOCALYPSE ; COUP D’ETAT ; LOVE SONG ; X‐GAME ; ON MY WAY ; SANDCASTLE ; COUP D’ETAT (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
The KingDom,REALIZE,2024-04-30,album,ep,Flip that Coin ; ENERGY ; RusHush ; GUNDAM ; BEST THING ; Together,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
The KingDom,the flower of the moon,2025-09-23,album,ep,Last Flower ; Festival ; Forget ; Last Flower (Instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TIOT,Frame the Blueprint : Prelude to Possibilities,2023-08-23,album,ep,This is our time ; Unbeatable ; BUNGEE ; Surfing ; Starlight,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TIOT,Kick‐START,2024-04-22,album,ep,Goosebumps ; ROCK THANG ; 가나요 (Moonrise) ; Paradise ; 아기상어,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TNX,BOYHOOD,2023-06-07,album,ep,Kick It 4 Now ; By You ; Good Day ; My Bias ; 1000 Miles ; Kick It 4 Now (English ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,SWEET,2023-07-05,album,album,Intro : FLOATING ; Hydrangea Love ; Sugar Rush Ride (Japanese Version) ; 0X1=LOVESONG (I Know I Love You) [Japanese Version] ; Ito ; Ring ; Magic ; Good Boy Gone Bad (Japanese Version) ; Hitori no Yoru ; MOA Diary (Dubaddu Wari Wari) [Japanese Version] ; Ring (Unplugged Version) ; Outro : FALLING,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,minisode 3: TOMORROW,2024-04-01,album,ep,I’ll See You There Tomorrow ; - --- -- --- .-. .-. --- .-- ; Deja Vu ; Miracle ; The Killa (I Belong to You) ; Quarter Life ; Deja Vu (Anemoia remix),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,誓い (CHIKAI),2024-07-02,song,single,ひとつの誓い (We’ll Never Change) ; Deja Vu - Japanese Ver. ; きっとずっと (Kitto Zutto),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,The Star Chapter: SANCTUARY,2024-11-04,album,ep,Heaven ; Over the Moon ; Danger ; Resist (Not Gonna Run Away) ; Forty One Winks ; Higher Than Heaven,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,The Star Chapter: SANCTUARY (Expanded Edition),2024-11-08,album,ep,Heaven ; Over The Moon ; Danger ; Resist (Not Gonna Run Away) ; Forty One Winks ; Higher Than Heaven ; Over The Moon (English ver.) ; Over The Moon (Deep House Remix) ; Over The Moon (R&B Remix) ; Over The Moon (Rock Remix),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TOMORROW X TOGETHER,The Star Chapter: TOGETHER,2025-07-21,album,album,Upside Down Kiss ; Beautiful Strangers ; Ghost Girl ; Sunday Driver ; Dance With You ; Take My Half ; Bird of Night ; Song of the Stars,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TREASURE,LOVE PULSE,2025-09-01,album,ep,EVERYTHING ; PARADISE ; NOW FOREVER ; BETTER THAN ME,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TRENDZ,BLUE SET Chapter. [NEW DAYZ],2023-03-15,song,single,Nightmare ; NEW DAYZ ; Fantasy,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TRENDZ,DREAMLIKE,2024-06-12,album,ep,Glow ; Out of Control ; Learn to Love - English Version ; Go Up - Live Band Version,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,+(KR)ystal Eyes <AESTHETIC>,2023-05-04,album,ep,Cherry 100% ; Cherry Talk ; Touch ; Hide & Seek ; Deja‐Vu ; Dimension (KRE ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,LOVElution <ↀ>,2023-08-17,album,ep,&#8576; ; Girls’ Capitalism ; Complexity ; Black Soul Dress ; Seoul Sonyo Sound ; Cry Baby ; Speed Love ; Number 8,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,EVOLution <⟡>,2023-10-11,album,ep,&#10209; ; Invincible ; Rhodanthe ; Heavy Metal Wings ; 37.5 Celsius ; Moto Princess ; Oui ; Enhanced Flower,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,Aria <Structure of Sadness>,2024-01-15,song,single,Door ; 첫 이별 (Farewell My First),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,<ASSEMBLE24>,2024-05-08,album,album,S ; Girls Never Die ; 가시권 ; Midnight Flower ; White Soul Sneakers ; 치유 ; 24 ; 이면의 이면 ; Non Scale ; Dimension,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,<###>,2024-07-20,song,single,###,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,Visionary Vision <Performante>,2024-10-23,album,album,Visual Virtue ; Hit the Floor ; Choom ; Éclair ; Love Soseol ; Atmosphere (VV ver.) ; 12 Rings ; Vision ; Bionic Power ; Visionary Vision,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,<ASSEMBLE25>,2025-05-12,album,album,@% (Alpha Percent) ; 깨어 (Are You Alive) ; 추리소설 (Detective Soseol) ; 어제 우리 불꽃놀이 (Firework Diary) ; Love Child ; Persona ; Too Hot ; Diablo ; Friend Zone ; Love2Love,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,tripleS ∞! < SecretHimitsuBimil >,2025-10-01,album,album,Password ; ヘッドフォン ; トキメティック ; TOKYO ; Oshare ; アンタイトル ; ### (∞! Ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
tripleS,msnz <Beyond Beauty>,2025-11-24,album,ep,Magic Shine New Zone ; Fly Up ; Cameo Love ; Bubble Gum Girl ; Q&A ; Christmas Alone,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TWICE,Track by Track: TWICE,2024-07-18,album,ep,Keeper (intro) ; Strategy w/MTS (intro) ; Magical (intro) ; Outro ; Like It Like It (intro) ; Sweetest Obsession (intro) ; Kiss My Troubles Away (intro) ; Strategy (intro) ; Intro,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TWICE,TEN: The Story Goes On,2025-10-10,album,album,ME+YOU ; MEEEEEE ; FIX A DRINK ; MOVE LIKE THAT ; DECAFFEINATED ; ATM ; STONE COLD ; CHESS ; IN MY ROOM ; DIVE IN,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TWS,Last Bell,2024-11-25,song,single,"Highlight ; Last Festival ; Comma,",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
TWS,TRY WITH US,2025-04-21,album,ep,Lucky to be loved ; Countdown! ; Random Play ; Freestyle ; Now Playing ; GO BACK,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
UNIS,WE UNIS,2024-03-27,album,ep,SUPERWOMAN ; Butterfly’s Dream ; Whatchu Need ; Dopamine ; 꿈의 소녀 (Dream of girls),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
UNIS,CURIOUS,2024-08-06,song,single,너만 몰라 ; Datin’ Myself ; Poppin’,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
VERIVERY,Liminality - EP.DREAM,2023-05-16,album,ep,Crazy Like That ; JUICY JUICY ; Raincoat ; Smile With You(),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
VIVIZ,VERSUS,2023-11-02,album,ep,MANIAC ; Untie ; Overflow ; 한 걸음 (Day by day) ; Up 2 Me,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
VIVIZ,VOYAGE,2024-11-07,album,ep,Shhh! ; Cliché ; Full Moon ; Hypnotize ; Love & Tears,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
VIVIZ,A Montage of ( ),2025-07-08,album,album,La La Love Me ; Hands Off My Heart ; Citrus ; Sticker ; Toxic ; Hipnotic ; Love Language ; Milky Way ; Wildflower,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Weeekly,ColoRise,2023-11-01,album,ep,ODYSSEY ; VROOM VROOM ; Backwards ; Sweet Dream ; A+ ; RUBY‐DUBY‐DU,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Weeekly,Bliss,2024-07-09,album,ep,Twenties ; LIGHTS ON ; Dance Dance Dance! ; Classic ; Page (A Story That Reached Me),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
WEi,Love Pt. 3 : Eternally,2023-06-29,album,ep,OVERDRIVE ; Be Alright (chillin’) ; Thriller ; All Day With You ; End of The Day,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
WEi,WAVE,2024-02-14,album,ep,FAKE LOVE ; All Mine ; WITHOUT U,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
WEi,The Feelings,2025-01-15,album,ep,Not Enough ; 143 Ily ; Fake Love ; Top Shape ; Without U,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
WEi,Wonderland,2025-10-29,album,ep,HOME ; DOMINO ; One in A Million ; Gravity ; Everglow,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
WHIB,Cut‐Out,2023-11-08,song,single,BANG! ; DIZZY,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Deadlock,2023-04-26,album,ep,Come into my head ; Freakin’ Bad ; Bicycle ; checkmate ; Good enough ; Man in the Box ; Dear H.,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Livelock,2023-10-12,album,ep,Freddy ; Break the Brake ; PLUTO ; Enemy ; Bad Chemical ; Paranoid ; AGAIN? AGAIN!,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Troubleshooting,2024-04-30,album,album,No Matter ; 어리고 부끄럽고 바보 같은 ; UNDEFINED ; Paint It ; Money On My Mind ; 꿈을 꾸는 소녀 ; until the end of time ; Walking to the Moon ; MONEYBALL ; 불꽃놀이의 밤,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Open ♭eta v6.1,2024-06-03,song,single,Boy Comics ; XH_winds_75,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Open ♭eta v6.2,2024-07-08,song,single,LOVE and FEAR ; XH_sand_75,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Open ♭eta v6.3,2024-08-05,song,single,Save me ; XH_waves_75,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Open ♭eta v6.4,2024-09-09,song,single,iNSTEAD! ; XH_stone_75,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Xdinary Heroes,Beautiful Mind,2025-03-24,album,ep,FIGHT ME ; Beautiful Life ; more than i like ; Diamond ; Supernatural ; George the Lobster ; BBB (Bitter but Better),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
xikers,HOUSE OF TRICKY : How To Play,2023-08-02,album,ep,Skater ; HOMEBOY ; DO or DIE ; Koong ; Run ; Sunny Side,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
xikers,HOUSE OF TRICKY : SPUR,2025-04-04,album,ep,You Hide We Seek ; BREATHE ; HIGHWAY ; Roller Coaster ; Rock Your Body,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
XLOV,I ONE,2025-06-13,song,single,1&Only ; 1 of LOV ; BIZNESS ; 1&Only (instrumental) ; 1 of LOV (instrumental) ; BIZNESS (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YENA,HATE XX,2023-06-27,song,single,BAD HOBBY ; Hate Rodrigo ; WICKED LOVE,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YENA,Blooming Wings,2025-07-29,album,ep,"Drama Queen ; 착하다는 말이 제일 싫어 ; 안녕 (Hello, Goodbye) ; 너만 아니면 돼 ; 364",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNG POSSE,Growing Pain pt.1 : FREE,2025-08-14,album,ep,"YSSR ; FREESTYLE ; ADHD ; School’s Out ; MON3Y 8ANK ; soju ; Same Shit, Another One",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,"BIT, Pt. 1",2023-05-17,album,ep,ICY ; WATERFALL ; LOOK AT THE TV ; TRIP ; SLOGAN,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,BIT Part.2,2023-10-17,album,ep,Chili Pop ; Love it ; F!zzy Soda Love ; Cupcake ; A star called you,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,ANOTHER,2024-05-01,album,ep,How We Do ; GEEKIN ; Poco Loco ; ONE+WON ; OMH (Out My Head),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,"로드 투 킹덤 : ACE OF ACE 〈NO LIMIT〉, Pt. 2",2024-10-31,album,ep,Armageddon ; Love Dive ; 월하미인 (LUNA) ; Armageddon (inst.) ; Love Dive (inst.) ; 월하미인 (LUNA) (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,Y,2024-12-11,song,single,Perfume ; TASTE ; Episode,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YOUNITE,YOUNI-T,2025-04-23,song,single,"AMIE SONG ; Rock Steady ; GASOLINE ; Who's Next? (HYUNGSEOK, DEY, KYUNGMUN) ; Twilight Rush (EUNHO, STEVE) ; Miracle Day (EUNSANG, WOONO, SION) ; GOOD TO GO",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
YUJU,In Bloom,2025-08-12,album,ep,Orion ; REPLY ; Sequence ; moonstruck love ; No Matter ; Sunset,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ZEROBASEONE,YOUTH IN THE SHADE,2023-07-10,album,ep,Back to ZEROBASE ; In Bloom ; New Kidz on the Block ; And I ; Our Season ; Always,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ZEROBASEONE,CINEMA PARADISE,2024-08-26,album,ep,GOOD SO BAD ; KILL THE ROMEO ; The Sea (ZB1 remake) ; Insomnia ; Road Movie ; Eternity ; YURA YURA (Korean ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
